lats,lons,RSSI
-0.0098542,0.037062,-66.787
0.023439,-0.046353,-93.329
0.060543,0.0038657,-129.28
-0.038413,0.050374,-105.55
0.0004564,-0.016329,-98.609
0.00080978,-0.002102,-41.73
-0.0036356,-0.014395,-89.304
0.020079,0.00024417,-62.866
0.040351,-0.0024572,-84.764
0.046541,0.01628,-70.442
-0.043214,-0.10523,-112.94
-0.055498,0.044432,-91.404
-0.07043,0.071565,-118.97
-0.003798,-0.0040402,-57.707
-0.0053873,0.077088,-104.25
-0.011373,0.11574,-108.97
-0.022132,-0.013478,-115.19
-0.08327,0.025487,-113.75
0.066002,-0.063877,-115.12
-0.017184,0.0045088,-70.815
0.018971,0.085502,-118.04
0.012556,-0.012804,-60.745
0.007398,-0.0079626,-57.845
0.02056,0.0262,-121.24
-0.0034915,0.042141,-100.36
0.018118,-0.041883,-70.67
0.014154,-0.028739,-94.728
-0.027637,0.0077815,-117.29
0.026322,-0.07979,-97.421
-0.039175,-0.10186,-116.32
-0.0064008,-0.0062481,-69.792
0.0051769,0.033263,-65.238
0.03041,-0.059728,-75.701
-0.019006,0.097368,-123.31
-0.039727,-0.078433,-128.77
-0.020456,0.061833,-115.49
-0.0012572,0.0040701,-47.11
-0.060159,0.0029315,-104.36
-0.018483,-0.10013,-114.08
-0.0052575,0.0035818,-64.281
0.0021891,0.043767,-87.613
-0.023202,-0.00068596,-87.581
0.023463,0.041972,-105.78
0.0082441,0.035512,-65.947
0.079927,0.046266,-125.14
0.0019844,-0.01557,-97.233
0.0011832,0.02639,-81.296
-0.062488,0.068213,-120.25
0.0092702,-0.074558,-105.2
0.02896,0.028486,-106.72
0.032011,0.001237,-66.918
